id,ticker,title,sentiment_label,sentiment_score,sentiment_value,analyzed_at
935,UNKNOWN,WATCH: Sparks fly over Oklahoma neighborhood after fireworks stand catches fire,neutral,0.9110315442085266,0.0,2026-06-25 12:53:19
934,UNKNOWN,WATCH: Palm Beach's airport to be renamed President Donald J. Trump International Airport,neutral,0.8841046094894409,0.0,2026-06-25 12:53:19
920,ARM,Priyanka Deshpande announces pregnancy with adorable post; fans and celebrities shower love,neutral,0.9105790853500366,0.0,2026-06-25 12:53:18
906,NVDA,‘A Lot of Leeway’: SpaceX’s High-Grade Debt Brings Out Skeptics,positive,0.6227620840072632,0.6227620840072632,2026-06-25 12:53:18
907,TSLA,SpaceX's quickfire investment-grade rating brings out skeptics,negative,0.7239154577255249,-0.7239154577255249,2026-06-25 12:53:18
908,UNKNOWN,Trump signs two executive orders to accelerate arrival of powerful quantum computers,positive,0.9206885695457458,0.9206885695457458,2026-06-25 12:53:18
909,MSFT,SpaceX shares drop 16% after rocket company discloses it may take on billions in debt,negative,0.9673827290534973,-0.9673827290534973,2026-06-25 12:53:18
910,NVDA,Amazon SageMaker Studio notebooks now support G7e instance types,neutral,0.8567966222763062,0.0,2026-06-25 12:53:18
911,NVDA,"Semtech and onsemi Shares Are Soaring, What You Need To Know",neutral,0.9063345789909363,0.0,2026-06-25 12:53:18
912,NVDA,uni-db-onnx-cuda 2.2.5,neutral,0.9324654340744019,0.0,2026-06-25 12:53:18
913,UNKNOWN,The world’s most influential cars,neutral,0.6895981431007385,0.0,2026-06-25 12:53:18
914,TSLA,Elon Musk’s Terafab project aims to put 1 terawatt of AI compute into orbit using Starship,neutral,0.7783758044242859,0.0,2026-06-25 12:53:18
916,TSLA,"US watchdog opens probe after Tesla crashes into Texas home, killing woman",negative,0.8519920706748962,-0.8519920706748962,2026-06-25 12:53:18
917,UNKNOWN,"EV demand powers Europe car market in May, Chinese rivals expand share",positive,0.7821444272994995,0.7821444272994995,2026-06-25 12:53:18
918,UNKNOWN,Assam HSLC Compartment exam result 2026 to be out today at sebaonline.org: Check steps to download scorecards,neutral,0.9443191289901733,0.0,2026-06-25 12:53:18
919,UNKNOWN,UPTET admit card 2026 on this date at upessc.up.gov.in; exams scheduled from July 2 to 4,neutral,0.9563730359077454,0.0,2026-06-25 12:53:18
915,TSLA,"US watchdog opens probe after Tesla crashes into Texas home, killing woman - Al Jazeera",negative,0.7210205793380737,-0.7210205793380737,2026-06-25 12:53:18
921,META,"Priyank Sharma dismisses rumours of joining Lock Upp 2; says, 'My journey ended 8 years ago'",neutral,0.8926010727882385,0.0,2026-06-25 12:53:18
928,AAPL,"Tata Electronics hit by ransomware attack claiming to expose Apple, Tesla trade secrets",negative,0.8570439219474792,-0.8570439219474792,2026-06-25 12:53:18
922,TSLA,Tesla pushes back on Autopilot narrative after fatal Texas crash,neutral,0.37173986434936523,0.0,2026-06-25 12:53:18
932,TSLA,"Top auto regulator opens special probe after a Tesla slams into a Texas home, killing a 76-year-old",negative,0.9266347885131836,-0.9266347885131836,2026-06-25 12:53:18
931,TSLA,Tesla crash that killed a woman under US federal investigation - BBC,neutral,0.5070149302482605,0.0,2026-06-25 12:53:18
930,TSLA,Welltower CFO’s $167 Million Pay Package Sets New Record,positive,0.7538400292396545,0.7538400292396545,2026-06-25 12:53:18
929,TSLA,Fatal crash involving Tesla allegedly using driver assist now under federal investigation,negative,0.6662063598632812,-0.6662063598632812,2026-06-25 12:53:18
933,TSLA,Top auto regulator opens special investigation into deadly Tesla crash,neutral,0.7993268370628357,0.0,2026-06-25 12:53:18
927,GOOGL,"Why Google, Tesla and AMD are turning to Samsung for AI chips",neutral,0.9098701477050781,0.0,2026-06-25 12:53:18
925,TSLA,US opens probe of fatal Tesla crash into Texas home,neutral,0.5981349349021912,0.0,2026-06-25 12:53:18
924,UNKNOWN,The Flash #34 Preview: Gorilla Warfare Meets Speed Force Visions,neutral,0.9259985685348511,0.0,2026-06-25 12:53:18
923,MSFT,US opens probe into fatal Tesla crash into Texas home,neutral,0.7267554402351379,0.0,2026-06-25 12:53:18
926,TSLA,Tesla pushes back on Autopilot narrative after fatal Texas crash - TechCrunch,neutral,0.5711836218833923,0.0,2026-06-25 12:53:18
884,OPENAI,OpenAI Expands Daybreak With GPT-5.5-Cyber to Help Defenders Patch Security Flaws,positive,0.5603952407836914,0.5603952407836914,2026-06-25 12:53:17
889,UNKNOWN,"2026 Zeekr X launched in Malaysia – Premium RWD and Flagship AWD, quicker charging; RM159k-RM176k",neutral,0.5553645491600037,0.0,2026-06-25 12:53:17
888,AAPL,A new unpatchable flaw in Apple chips opens the door to an iPhone jailbreak,negative,0.832926869392395,-0.832926869392395,2026-06-25 12:53:17
887,AAPL,iOS 27 beta 2 is out now: here’s what’s new,neutral,0.939889132976532,0.0,2026-06-25 12:53:17
886,DIS,Disney & A24’s First Ever Team-up Begins With a Father Accused of Murder,neutral,0.8126240372657776,0.0,2026-06-25 12:53:17
885,AAPL,"Coin-cell powered Nordic nRF54L15 Tag prototyping platform supports Bluetooth Channel Sounding, Matter, Edge AI",neutral,0.9072427749633789,0.0,2026-06-25 12:53:17
882,ARM,Gear Crave June 2026,neutral,0.8945776224136353,0.0,2026-06-25 12:53:17
883,UNKNOWN,Bayern Munich News: FC Bayern scoping Tottenham Hotspur’s Lucas Bergvall?; Harry Kane contract news; and MORE!,neutral,0.9028185606002808,0.0,2026-06-25 12:53:17
881,UNKNOWN,Signify Enhances Philips Hue Matter Support Through Collaboration with Silicon Labs,positive,0.8686376810073853,0.8686376810073853,2026-06-25 12:53:17
880,UNKNOWN,D4VD's brother returns to social media as singer's murder trial approaches,neutral,0.8293939232826233,0.0,2026-06-25 12:53:17
879,AAPL,Samsung Display reportedly kicks off OLED panel production for foldable iPhone,negative,0.6237132549285889,-0.6237132549285889,2026-06-25 12:53:17
